"type","title","tagline","author","description","intendedUser","tags","link"
"code","ENMOkit","Computes ENMO, MAD and intensity-gradient metrics from raw acceleration at configurable epochs.","P. Andersson","Reimplementing standard metrics leads to subtle, study-breaking differences. After QC, to derive comparable movement metrics. Outputs: Epoch-level ENMO/MAD time series + daily summaries.","Researchers|Data scientists","signal-processing|Python|open-source","#"
"code","PolicySim","Simulates population health impact of activity-shift scenarios.","H. Bauer","Policy teams need scenario estimates, not just associations. For ""what if the population moved more"" projections. Outputs: Projected outcome shifts under scenarios.","Researchers|Statisticians","policy|R|open-source","#"
"code","epochr","Flexible re-epoching and cut-point application across multiple metric definitions.","J. Lindqvist","Comparing cut-points means rerunning whole pipelines. During sensitivity analysis of intensity thresholds. Outputs: Activity intensity classifications per epoch.","Researchers|Statisticians","signal-processing|R|open-source","#"
"code","wearQC","Automated quality-control flags for non-wear, calibration drift and clipping in free-living data.","S. Novak","Unflagged poor-quality segments bias downstream metrics. Immediately after ingestion, before deriving any activity metrics. Outputs: Per-window quality flags + a participant-level QC report.","Researchers|Data scientists","acquisition|Python|open-source","#"
"code","DeviceSync","Aligns multi-sensor wearable streams (accelerometer, PPG, GPS) to a shared clock.","A. Kovač","Sensors drift and start at different times, breaking fusion. When combining two or more devices per participant. Outputs: Time-aligned long-format dataset with offset diagnostics.","Researchers|Statisticians","acquisition|R|open-source","#"
"code","ActiPlot","Publication-ready actigraphy heatmaps and 24-hour radial plots.","F. Klein","Raw plots rarely meet publication standards. When preparing figures for papers or reports. Outputs: High-resolution figures + reusable plot configs.","Researchers|Data scientists","visualisation|Python|open-source","#"
"resource","Translating accelerometer evidence into public-health guidance","A pathway from device-measured evidence to actionable recommendations.","Bauer et al., 2024","Use the pathway to structure an evidence-to-guidance project. Keeps recommendations traceable to underlying data. For example: Framed a national activity guideline update. Limitations: Process-focused; not a substitute for expert panels.","Policy makers|Researchers","policy|Framework","#"
"resource","Best practices for free-living accelerometer data collection","A practical checklist for placement, wear protocols and metadata capture in field studies.","Haugen et al., 2024","Adopt the checklist when writing your data-collection protocol. Reduces avoidable data loss and harmonises studies across the network. For example: Used to standardise wear protocols across three cohort sites. Limitations: Focused on wrist and thigh placement; hip guidance is lighter.","Researchers|Study coordinators","acquisition|Protocol","#"
"resource","From data to policy: a framework for movement behaviour recommendations","Connects analysis outputs to the needs of decision-makers.","Bauer & Sato, 2023","Align outputs to decision questions early. Reduces the research-to-policy translation gap. For example: Used to brief a municipal health team. Limitations: Assumes some analytic capacity in the audience.","Policy makers|Practitioners","policy|Framework","#"
"resource","Defining behavioural archetypes from wearable data","Practical steps and pitfalls when labelling movement archetypes.","Ahmed & Costa, 2022","Follow the validation steps before naming clusters. Encourages reproducible, interpretable phenotypes. For example: Used to standardise archetype reporting in two studies. Limitations: Cluster counts remain somewhat data-driven.","Researchers|Analysts","phenotyping|Guidance","#"
"resource","Mendelian randomisation with device-measured physical activity","Using genetic instruments to probe causality in activity–health links.","Romano, 2023","Check instrument validity before applying MR. Offers a complementary route around confounding. For example: Applied to activity and cardiometabolic outcomes. Limitations: Requires large genotyped samples and valid instruments.","Researchers|Epidemiologists","health-outcomes|Methods","#"
"resource","Movement phenotypes across the life course: a scoping review","Surveys how behavioural phenotypes are defined and used across ages.","Costa et al., 2024","Position your phenotyping approach against existing definitions. Prevents reinventing incompatible phenotype schemes. For example: Framed phenotype definitions for a youth activity study. Limitations: Coverage is lighter for clinical populations.","Researchers","phenotyping|Review","#"
