stage,title,kind,url,summary,authors,contact,howToUse,why,targetUsers,example,limitations
"1","Best practices for free-living accelerometer data collection","Protocol","#","A practical checklist for placement, wear protocols and metadata capture in field studies.","Haugen et al., 2024","L. Haugen","Adopt the checklist when writing your data-collection protocol.","Reduces avoidable data loss and harmonises studies across the network.","Researchers|Study coordinators","Used to standardise wear protocols across three cohort sites.","Focused on wrist and thigh placement; hip guidance is lighter."
"1","Detecting non-wear time: a comparison of algorithms","Methods review","#","Plain-language comparison of common non-wear rules and when each fails.","Novak & Kovač, 2023","S. Novak","Match the recommended rule to your device and sampling setup.","Non-wear handling materially changes daily activity totals.","Researchers|Analysts","Guided algorithm choice for a 2,000-participant sleep study.","Evaluated mainly on wrist-worn devices."
"1","Calibration of triaxial accelerometers using local gravity","Guidance","#","How autocalibration corrects sensor bias using still periods and local gravity.","Ferreira, 2022","M. Ferreira","Run autocalibration before deriving acceleration metrics.","Uncalibrated sensors introduce systematic error across devices.","Researchers|Engineers","Applied to harmonise two accelerometer brands in one cohort.","Needs sufficient still periods within each recording."
"2","From raw acceleration to physical activity intensity: a methods primer","Primer","#","Accessible walkthrough of how raw signals become minutes of activity intensity.","Andersson et al., 2023","P. Andersson","Read before choosing a metric and cut-point strategy.","Builds shared vocabulary across method and applied teams.","Researchers|Students","Onboarding reading for new Fellows joining a cohort study.","Conceptual; not a parameter-tuning guide."
"2","Open metrics for movement behaviour: ENMO, MAD and beyond","Methods review","#","Compares device-agnostic acceleration metrics and their trade-offs.","Bianchi, 2024","R. Bianchi","Select a metric matched to your research question and device.","Open metrics enable cross-study comparison without proprietary units.","Researchers|Analysts","Informed metric harmonisation in a multi-cohort consortium.","Brand-specific counts are out of scope."
"2","Window length choices in epoch-based analysis","Guidance","#","How epoch length shifts estimates of activity and sedentary time.","Moreau & Lindqvist, 2022","E. Moreau","Pre-register epoch length and report sensitivity.","Epoch choice silently changes headline results.","Researchers","Used to justify a 5-second epoch in a gait study.","Recommendations are intensity-metric dependent."
"3","Movement phenotypes across the life course: a scoping review","Review","#","Surveys how behavioural phenotypes are defined and used across ages.","Costa et al., 2024","D. Costa","Position your phenotyping approach against existing definitions.","Prevents reinventing incompatible phenotype schemes.","Researchers","Framed phenotype definitions for a youth activity study.","Coverage is lighter for clinical populations."
"3","Compositional data analysis for the 24-hour activity cycle","Methods","#","Why the day is a closed composition and how to model it correctly.","Petrova, 2023","N. Petrova","Transform time-use data before modelling outcomes.","Ignoring the constant-sum constraint biases estimates.","Researchers|Statisticians","Underpins isotemporal substitution in stage 6 tools.","Assumes meaningful, non-zero behaviour components."
"3","Defining behavioural archetypes from wearable data","Guidance","#","Practical steps and pitfalls when labelling movement archetypes.","Ahmed & Costa, 2022","T. Ahmed","Follow the validation steps before naming clusters.","Encourages reproducible, interpretable phenotypes.","Researchers|Analysts","Used to standardise archetype reporting in two studies.","Cluster counts remain somewhat data-driven."
"6","Reallocating time between sleep, sedentary and activity: a causal lens","Methods","#","Frames time-reallocation questions in causal terms with clear assumptions.","Olsen et al., 2024","K. Olsen","State assumptions explicitly before substitution modelling.","Clarifies what isotemporal estimates can and cannot claim.","Researchers|Epidemiologists","Guided interpretation of a sleep-for-activity swap analysis.","Causal claims rest on untestable assumptions."
"6","Mendelian randomisation with device-measured physical activity","Methods","#","Using genetic instruments to probe causality in activity–health links.","Romano, 2023","V. Romano","Check instrument validity before applying MR.","Offers a complementary route around confounding.","Researchers|Epidemiologists","Applied to activity and cardiometabolic outcomes.","Requires large genotyped samples and valid instruments."
"6","Confounding in physical activity epidemiology","Guidance","#","Common confounders and reverse-causation traps, with mitigation tactics.","Olsen & Romano, 2022","K. Olsen","Use the DAG templates to plan adjustment sets.","Reduces over- and under-adjustment errors.","Researchers","Informed covariate selection in a mortality study.","General guidance; not outcome-specific."
"8","Visualising the 24-hour day: a design guide","Guidance","#","Design principles for honest, readable movement-behaviour graphics.","Klein et al., 2024","F. Klein","Apply the checklist when designing figures.","Better visuals improve interpretation and uptake.","Researchers|Communicators","Used to redesign a cohort report dashboard.","Print-focused; less on interactive accessibility."
"8","Communicating uncertainty in movement behaviour estimates","Guidance","#","Ways to show confidence and variability without overwhelming readers.","Sato, 2023","G. Sato","Pick an uncertainty encoding matched to the audience.","Hidden uncertainty leads to overconfident decisions.","Researchers|Policy makers","Guided uncertainty bands in a public summary.","Empirical comprehension testing is limited."
"9","Translating accelerometer evidence into public-health guidance","Framework","#","A pathway from device-measured evidence to actionable recommendations.","Bauer et al., 2024","H. Bauer","Use the pathway to structure an evidence-to-guidance project.","Keeps recommendations traceable to underlying data.","Policy makers|Researchers","Framed a national activity guideline update.","Process-focused; not a substitute for expert panels."
"9","From data to policy: a framework for movement behaviour recommendations","Framework","#","Connects analysis outputs to the needs of decision-makers.","Bauer & Sato, 2023","H. Bauer","Align outputs to decision questions early.","Reduces the research-to-policy translation gap.","Policy makers|Practitioners","Used to brief a municipal health team.","Assumes some analytic capacity in the audience."
"9","Equity considerations in physical-activity policy","Guidance","#","How to surface and address equity when turning evidence into policy.","Bauer, 2022","H. Bauer","Run the equity checklist alongside impact estimates.","Average effects can mask widening disparities.","Policy makers|Practitioners","Applied to a workplace activity programme review.","Qualitative; pairs best with stratified analysis."
